"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
"CHEVROLET","PC","1","5","C","CHEVROLET COLORADO 2.8 4X4 M/T","0","0","0","1105000","0","0","0","0","PICK-UP"
"CHEVROLET","PC","1","5","C","CHEVROLET COLORADO 2.8 LTZ 4X4 A/T","1538888","1355000","1195000","0","0","0","0","0","PICK-UP"
"CHEVROLET","PC","1","5","C","CHEVROLET COLORADO 2.8 LTZ 4X4 M/T","1468888","0","0","0","0","0","0","0","PICK-UP"
"CHEVROLET","PC","1","5","A","CHEVROLET CRUZE 1.8 L M/T","858888","0","0","590000","0","525000","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 1.8 LS A/T","963888","850000","750000","660000","580000","510000","0","395000","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 1.8 LS M/T","908888","0","705000","620000","560000","495000","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 1.8 LT A/T","1103888","0","855000","755000","765000","675000","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 1.8 L BASE M/T","0","0","685000","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 2.0  A/T","0","0","0","0","800000","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET CRUZE 2.0 CRDI  A/T","1313888","0","1020000","900000","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET EPICA  A/T","0","0","0","0","0","0","0","520000","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET MALIBU LT 2.4  A/T","1398888","0","0","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET MALIBU LTZ 2.4  A/T","1528888","1350000","0","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 BASE M/T","0","0","0","0","0","0","390000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LS WAGON A/T","0","0","0","0","0","510000","450000","395000","WAGON"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LS WAGON M/T","0","0","0","0","0","0","455000","405000","WAGON"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LS  A/T","0","0","0","0","0","0","0","370000","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LS  M/T","0","0","0","0","0","0","0","375000","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LT  A/T","0","0","0","0","0","0","445000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET OPTRA 1.6 LT  M/T","0","0","0","0","0","0","435000","0","SEDAN"
"CHEVROLET","PC","1","7","B","CHEVROLET ORLANDO 1.8 LT A/T","1238888","1095000","960000","845000","0","0","0","0","SUV"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ 4-DR A/T","0","730000","0","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ 4-DR M/T","0","690000","0","0","0","0","0","0","SEDAN"
